Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
MIR1292///SNORD110///SNORD86///SNORD57///NOP56,1.409,4.262,,EXOSC10-AS1,0.409,2.018,FAAH2,-0.314,2.404,,FOXD2,0.836,6.401,,SNTG1,-0.13,3.106,,,Cirrhotic,Training
ATP8B2,1.407,4.079,,EYA3,0.298,2.323,FABP4,1.293,4.467,,FRYL,0.498,3.243,,SNX24,0.392,4.53,,,Cirrhotic,Training
AACS,1.406,3.608,,EZH2,2.307,40.587,FAIM,0.666,4.027,,FSTL3,1.098,3.358,,SORT1,1.379,4.043,,,Cirrhotic,Training
ABCC4,1.404,2.72,,F13A1,2.339,7.966,FAM102B,1.061,3.996,,FUCA2,0.537,2.931,,SOX9,2.446,3.97,,,Cirrhotic,Training
CCDC18-AS1,1.402,3.009,,F13B,-0.634,1.333,FAM104B,-0.367,2.973,,FURIN,0.692,2.955,,SOX9-AS1,0.826,3.228,,,Cirrhotic,Training
HDAC11,1.4,3.522,,F3,-0.812,1.304,FAM111A,0.317,3.058,,FUZ,-0.488,3.322,,SP110,1.029,3.526,,,Cirrhotic,Training
FBXO32,1.399,3.25,,FABP4,2.552,6.226,FAM122A,-0.273,2.556,,FXYD6,-0.601,3.337,,SP4,-0.927,3.872,,,Cirrhotic,Training
MMP1,1.395,2.37,,FABP5,0.864,1.603,FAM126B,-0.448,4.052,,FYN,1.11,3.083,,SPATA20,0.503,3.11,,,Cirrhotic,Training
ANKS6,1.391,5.384,,FAF1,0.28,1.464,FAM127A,0.48,2.811,,FZD2,0.598,3.253,,SPDYE6,-0.221,3.522,,,Cirrhotic,Training
GNAL,1.39,3.463,,FAM111B,3.345,18.752,FAM127B,0.494,3.43,,G3BP1,0.519,3.127,,SPIC,-0.344,3.002,,,Cirrhotic,Training
CDCA3,1.389,2.812,,FAM131B-AS2,0.651,2.011,FAM129B,0.71,2.698,,GABBR2,0.766,3.531,,SPIRE1,1.213,3.747,,,Cirrhotic,Training
ATP6AP1,1.387,5.966,,FAM135B,1.207,1.683,FAM134B,-0.877,4.75,,GABPA,-0.867,3.283,,SQSTM1,0.715,3.917,,,Cirrhotic,Training
C8orf33,1.386,3.013,,FAM136A,0.366,1.969,FAM149A,-0.79,3.148,,GAMT,-0.825,3.446,,SREBF1,0.769,2.746,,,Cirrhotic,Training
ESM1,1.385,2.268,,FAM13C,1.475,9.546,FAM150A,0.879,4.412,,GAPDH,1.882,5.805,,SRL,-0.256,3.367,,,Cirrhotic,Training
CENPJ,1.384,5.06,,FAM161A,0.859,5.964,FAM150B,1.647,4.708,,GAPLINC,0.782,2.914,,SRRM2-AS1,0.331,3.357,,,Cirrhotic,Training
ZBTB37,1.383,5.585,,FAM171A2,2.162,6.931,FAM169A,1.328,2.861,,GAREM1,-0.604,2.859,,SRSF3,-0.843,4.122,,,Cirrhotic,Training
POU2AF1,1.382,2.187,,FAM193A,0.391,4.68,FAM173B,-0.507,2.736,,GART,1.123,4.194,,SRSF6,-0.41,2.722,,,Cirrhotic,Training
PTPRH,1.381,3.146,,FAM20B,0.72,5.301,FAM183CP,-0.078,2.329,,GBA,0.661,5.018,,STC1,3.087,4.89,,,Cirrhotic,Training
TTC13,1.379,5.574,,FAM210A,-0.529,3.338,FAM189B,0.146,2.535,,GBA2,0.495,3.033,,STK19,0.864,3.929,,,Cirrhotic,Training
CEBPA,1.377,4.651,,FAM222A,2.463,14.377,FAM19A5,0.246,4.649,,GBAS,0.7,3.295,,STK35,-0.946,4.04,,,Cirrhotic,Training
GXYLT2,1.376,2.608,,FAM228B,1.363,7.571,FAM200B,-0.527,2.883,,GCOM1///POLR2M,-0.505,3.253,,STK4,-0.449,3.584,,,Cirrhotic,Training
NDRG3,1.373,4.694,,FAM229A,-0.581,1.763,FAM209B,-0.155,2.939,,GDF11,-0.441,4.171,,SULT1C2,0.688,2.909,,,Cirrhotic,Training
STIP1,1.372,2.147,,FAM241B,1.08,3.494,FAM210A,-0.374,3.824,,GDF2,-0.583,4.703,,SUPT5H,0.296,2.732,,,Cirrhotic,Training
LOX,1.368,3.023,,FAM247D,-0.534,1.822,FAM213B,0.791,2.745,,GDNF,0.3,3.786,,SUSD4,0.493,3.593,,,Cirrhotic,Training
VPS72,1.367,5.546,,FAM24B,1.91,6.93,FAM222B,0.456,3.391,,GFRA2,-0.522,3.214,,SYNGR1,-0.285,3.615,,,Cirrhotic,Training
CTPS2,1.366,2.58,,FAM3B,3.285,5.393,FAM24B,0.382,4.04,,GGCX,-0.931,3.903,,SYPL1,0.681,3.846,,,Cirrhotic,Training
DTNA,1.365,4.642,,FAM47E-STBD1,-0.561,1.491,FAM3B,1.614,7.468,,GIMAP5,-0.983,3.903,,SYT11,-0.481,2.826,,,Cirrhotic,Training
ANGPT1,1.364,3.184,,FAM66B,0.715,1.626,FAM45A///FAM45BP,-0.59,3.629,,GIT2,-0.238,3.174,,SYVN1,0.366,2.844,,,Cirrhotic,Training
DTYMK,1.363,3.006,,FAM72A,1.586,11.003,FAM46A,-0.904,5.104,,GJC1,1.409,3.017,,TAF10,0.485,4.796,,,Cirrhotic,Training
CTC-338M12.4,1.362,6.248,,FAM72B,2.327,15.54,FAM46C,0.97,2.65,,GLI4,0.368,3.862,,TAGAP,-0.271,3.591,,,Cirrhotic,Training
KRTCAP2,1.361,5.89,,FAM72C,2.368,15.844,FAM60A,1.019,3.656,,GLO1,-0.596,2.856,,TAP1,1.336,3.674,,,Cirrhotic,Training
BCAN,1.358,6.776,,FAM72D,2.099,15.264,FAM89A,-0.447,3.303,,GM2A,1.095,4.0,,TAPBP,0.501,3.782,,,Cirrhotic,Training
GTF2H2B,1.355,2.855,,FAM78B-AS1,-0.563,1.335,FAM91A1,-0.288,3.279,,GMNN,0.885,4.336,,TGM3,1.063,3.719,,,Cirrhotic,Training
GM2A,1.354,6.343,,FAM81A,2.523,8.405,FAP,0.637,3.656,,GNAO1,-0.957,3.615,,TIA1,0.263,2.895,,,Cirrhotic,Training
MPP7,1.353,3.508,,FAM83D,2.543,19.932,FAR1,0.6,2.36,,GNAQ,-0.519,3.063,,TIGD3,0.171,2.767,,,Cirrhotic,Training
C5orf30,1.352,2.499,,FAM86JP,1.783,13.576,FARP1,-0.488,7.113,,GOLM1,1.093,3.353,,TIRAP,0.187,3.163,,,Cirrhotic,Training
LRPAP1,1.351,4.05,,FANCB,2.65,13.465,FAS,0.312,4.03,,GON4L,1.138,3.621,,TLR4,-0.446,4.61,,,Cirrhotic,Training
CEP41,1.35,5.06,,FANCD2,2.256,21.761,FASTK,-0.44,2.825,,GOPC,-0.918,3.723,,TM4SF5,0.906,3.121,,,Cirrhotic,Training
PIR,1.349,2.439,,FANCG,1.374,18.887,FAT1,0.827,3.136,,GPATCH2L,1.212,3.163,,TM6SF2,0.655,2.886,,,Cirrhotic,Training
NAALADL1,1.347,2.531,,FANCI,1.551,16.046,FBLN5,0.682,2.405,,GPBAR1,-0.816,4.459,,TNFAIP2,1.169,4.104,,,Cirrhotic,Training
GNPAT,1.346,6.165,,FAP,3.181,9.26,FCER1A,0.972,3.683,,GPC3,1.964,3.257,,TNFAIP8L1,-0.604,3.489,,,Cirrhotic,Training
SCAMP3,1.343,3.843,,FARP2,-0.525,5.492,FCHO1,0.208,3.733,,GPHN,-0.644,3.421,,TOMM7,-0.354,3.125,,,Cirrhotic,Training
GPD1L,1.342,3.386,,FARSB,0.693,8.786,FCMR,0.658,4.293,,GPI,0.867,4.491,,TPPP3,-0.236,2.797,,,Cirrhotic,Training
ANXA2,1.341,2.737,,FAT1,1.229,3.208,FCRLA,0.672,5.331,,GPR155,0.855,3.337,,TPSAB1,-0.606,2.722,,,Cirrhotic,Training
UBR5,1.34,6.978,,FAUP4,2.479,7.281,FECH,-0.782,2.79,,GPR82,-0.351,3.536,,TPX2,3.151,5.815,,,Cirrhotic,Training
TRPC1,1.338,4.085,,FAXDC2,-0.798,2.655,FGD6,0.668,3.657,,GPS1,0.638,2.969,,TRAT1,-0.298,3.156,,,Cirrhotic,Training
IGF2BP1,1.337,5.168,,FBH1,0.18,1.793,FGFR2,0.209,2.665,,GRINA,0.899,6.201,,TRIM15,1.921,4.08,,,Cirrhotic,Training
CS,1.336,5.325,,FBLIM1,1.422,7.686,FGL1,-0.762,3.883,,GRK5,-0.205,2.929,,WDR13,1.077,7.098,,,Cirrhotic,Training
CCT5,1.335,3.516,,FBLL1,1.801,2.917,FGL2,0.754,2.798,,GS1-124K5.11,-0.194,2.949,,WNK4,1.177,6.128,,,Cirrhotic,Training
ZNF623,1.333,5.983,,FBXL16,1.841,3.888,FHL2,1.079,3.182,,GSN,0.524,2.929,,WNT11,-0.361,2.794,,,Cirrhotic,Training
INPP5F,1.332,3.144,,FBXL18,1.845,24.681,FIBCD1,-0.18,2.544,,GSS,0.573,3.661,,XAGE2,-0.228,3.859,,,Cirrhotic,Training
UPF3B,1.331,4.213,,FBXL21P,2.306,5.412,FIGLA,0.106,2.164,,GTF2F1,-0.742,3.427,,XPO1,0.662,3.892,,,Cirrhotic,Training
TCF19,1.33,6.213,,FBXL22,1.5,7.999,FIGNL2,-0.428,2.281,,GTF2H5,0.469,3.082,,XPR1,0.38,3.133,,,Cirrhotic,Training
HEATR1,1.328,5.425,,FBXO11,0.207,1.831,FIS1,-0.408,2.865,,GTF2IRD2,-0.866,5.247,,ZBTB8OS,0.232,3.529,,,Cirrhotic,Training
DBF4,1.327,3.617,,FBXO32,1.279,3.668,FITM1,-0.986,5.708,,GUCA1C,-0.184,3.123,,ZRANB1,-0.607,3.962,,,Cirrhotic,Training
RNF44,1.326,6.717,,FBXO36,0.359,1.309,FKBP14,-0.483,2.965,,GUSBP2,0.472,3.393,,ZWINT,3.326,5.609,,,Cirrhotic,Training
AMY1A,1.325,6.458,,FBXO41,1.234,3.429,FKBP1A-SDCBP2///SDCBP2,2.021,7.443,,H2AFY,0.682,3.239,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CXCL10,1.324,3.237,,FBXO43,3.716,31.762,FKBP4,-0.553,3.696,,HAND2-AS1,-0.741,4.043,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ALMS1,1.322,5.612,,FBXO45,0.546,4.18,FLI1,0.937,4.03,,HCFC1-AS1,-0.196,2.923,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
KCNE5,1.321,4.939,,FBXO6,0.39,1.587,FLJ37453,-0.667,2.9,,HCP5,1.764,5.077,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CCDC93,1.32,7.024,,FBXW7,-0.373,3.006,FLNB,-0.449,3.721,,HDAC11,0.37,2.862,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
MYCN,1.319,2.166,,FCER1G,-0.991,3.427,FMO6P,-0.516,5.864,,HDAC6,-0.848,2.951,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI,1.317,2.694,,FCGR1A,1.245,2.61,FMOD,0.521,2.806,,HECTD1,-0.921,3.75,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
C8orf76,1.316,2.426,,FCMR,-0.734,1.404,FNBP1,0.699,5.015,,HEPH,1.065,3.191,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SMG7,1.315,4.013,,FCN1,-0.921,1.854,FNIP2,-0.698,3.782,,HERC5,1.269,3.381,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DDX39A,1.314,5.809,,FCRL6,-0.953,2.476,FOLH1,-0.517,2.54,,HERC6,2.008,4.299,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
GDPD1,1.313,4.592,,FCRLB,0.975,1.327,FOLR2,0.42,2.493,,HES7,-0.327,2.98,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CDCA8,1.31,5.71,,FEN1,1.772,21.543,FOXA2,-0.457,2.937,,HK3,-0.747,2.984,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
RNF144A,1.309,3.736,,FER1L4,2.34,6.35,FOXB2,0.157,2.899,,HKDC1,2.052,3.054,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NIPAL2,1.308,2.854,,FGFBP2,-0.893,2.002,FOXF1,0.442,3.19,,HLA-A,1.152,7.316,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NCSTN,1.307,5.668,,FGFR4,0.695,2.715,FOXK1,0.128,2.609,,HLA-B,1.048,3.375,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
GCNT3,1.303,2.183,,FH,-0.657,2.762,FOXQ1,1.482,2.686,,HLA-C,0.803,4.221,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SCARA3,1.302,2.541,,FHAD1,2.761,9.528,FOXS1,0.126,2.159,,HLA-DOA,-0.258,2.991,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
PTK2,1.301,3.71,,FHL3,0.545,1.869,FPGS,-0.729,3.978,,HLA-F,1.193,4.488,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
PDE7A,1.3,5.364,,FHL5,1.399,2.285,FPR3,1.103,3.117,,HLA-G,0.775,3.255,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CKS1B,1.298,3.457,,FICD,1.236,6.858,FRAS1,0.588,2.842,,HLA-J,0.948,3.517,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
BLOC1S3,1.295,3.667,,FIGNL1,1.641,19.347,FRMD4B,-0.274,3.16,,HMGN2,0.715,3.505,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ADAR,1.294,4.995,,FIGNL2,2.823,11.212,FRMD6,0.148,2.534,,HMGN4,0.569,3.015,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CPSF6,1.293,5.897,,FIS1,-0.329,1.304,FRZB,0.648,3.051,,HMMR,1.954,5.243,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
UXS1,1.291,6.341,,FKBP10,1.596,3.227,FSTL3,1.076,4.185,,HMX1,-0.447,3.158,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CPLX1,1.288,2.998,,FKBP2,-0.735,5.836,FTCD,-0.631,2.845,,HNMT,-0.673,3.649,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SLC5A8,1.287,7.544,,FLAD1,0.713,11.192,FUCA2,0.356,3.246,,HNRNPA0,-0.787,3.42,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ABL2,1.286,5.524,,FLJ20021,-0.784,2.621,FUT4,1.346,5.196,,HNRNPC,0.914,3.507,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
MIR1178///CIT,1.285,3.636,,FLJ39095,2.27,7.578,FUT6,0.415,2.626,,HNRNPLL,0.407,3.008,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ATP1B3,1.284,2.95,,FLJ46875,0.496,1.438,FUT8,0.376,3.041,,HOMER1,1.763,3.367,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CLSTN1,1.283,4.665,,FLNC,1.967,3.809,FXR2,-0.312,3.204,,HOXB5,-0.413,3.072,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NFE2L3,1.281,4.089,,FLVCR1,2.201,22.37,FXYD2,0.509,3.462,,HP1BP3,-0.593,3.343,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CD34,1.28,4.015,,FLVCR1-DT,1.659,5.364,FXYD5,0.528,2.311,,HS1BP3,0.654,3.427,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ATP6V1C1,1.278,3.745,,FMC1,-0.772,4.003,FXYD6-FXYD2///FXYD2,1.902,5.542,,HSBP1L1,-0.712,3.947,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
PCNA,1.277,3.329,,FMO1,3.861,7.88,FYN,1.143,3.364,,HSD3B1,0.312,2.893,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DUT,1.276,2.839,,FN1,-0.429,1.479,FZD7,-0.614,6.495,,HSP90AA1,0.646,3.289,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
HOXA5,1.275,2.241,,FNBP1L,0.887,5.25,GABPA,-0.835,2.43,,HSP90AB1,0.724,4.458,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LOC642846///DDX12P///DDX11,1.274,3.369,,FNDC1,1.643,1.977,GABRP,1.649,3.242,,HSPA4,0.614,4.165,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SORT1,1.273,3.315,,FNDC10,1.652,3.694,GADD45G,-0.891,3.386,,HSPBAP1,1.021,5.201,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LBR,1.272,5.058,,FOXA2,-0.481,1.707,GADL1,-0.126,3.041,,HTATIP2,0.818,4.208,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LIG3,1.271,4.251,,FOXD2,2.426,8.24,GALK1,-0.737,3.837,,HTT-AS,0.191,3.324,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LIG1,1.268,3.567,,FOXD2-AS1,1.807,7.927,GALK2,-0.844,2.785,,HYOU1,0.671,3.539,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DVL3,1.267,4.873,,FOXM1,3.032,34.469,GALNT12,0.834,3.581,,ICE2,-0.835,3.309,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
MTR,1.266,4.86,,FOXO6,2.464,5.974,GALNT7,0.795,2.853,,IDI1,1.017,3.032,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
C1orf112,1.265,2.425,,FOXP4,0.723,4.17,GANAB,-0.41,3.869,,IDNK,-0.881,3.14,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
THUMPD3-AS1,1.264,3.152,,FRAS1,2.159,3.607,GAPDH,0.781,5.633,,IFI27,3.534,4.219,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
OTUD6B,1.263,3.03,,FRG1,-0.317,2.521,GAPT,0.404,3.47,,IFI44,2.203,5.533,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
E2F5,1.262,2.9,,FRMD1,2.273,3.568,GAREM1,-0.46,2.738,,IFI44L,2.8,4.616,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
C4orf46,1.261,3.517,,FRMPD1,1.554,3.741,GAS1,1.018,2.43,,IFI6,2.567,3.09,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CHD1L,1.259,3.795,,FRRS1,-0.537,1.753,GAS2L1,-0.345,3.661,,IFT43,-0.396,3.154,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ACTG2,1.258,2.829,,FRZB,1.411,3.326,GAS6,0.535,2.336,,IFT57,-0.484,3.05,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
BCAP31,1.257,6.16,,FSCN2,1.034,2.366,GATA4,-0.792,3.364,,IKZF1,-0.711,3.153,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LOC102724017,1.256,4.327,,FSD1L,2.06,13.485,GBP2,0.669,2.531,,IL17RC,-0.683,3.342,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SPTBN1,1.255,2.675,,FSD2,0.931,5.443,GBP4,0.941,3.168,,IL18RAP,-0.587,3.655,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DUSP12,1.254,6.339,,FSIP2,1.702,3.682,GBP5,1.312,3.658,,IL1A,0.591,3.347,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
EDC3,1.252,6.663,,FST,-0.848,1.604,GCAT,-0.81,3.553,,IL32,1.535,4.116,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
GPSM2,1.251,4.072,,FTCDNL1,-0.818,3.919,GCFC2,-0.55,2.773,,IL7R,2.324,3.405,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LINC00328,1.25,2.847,,FTH1,-0.311,1.79,GCH1,-0.504,2.818,,ILVBL,-0.78,4.914,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NUP155,1.249,3.205,,FUBP1,0.704,6.82,GDA,1.212,3.029,,IMP3,-0.446,3.218,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CSE1L,1.248,3.813,,FUCA1,-0.56,2.795,GDF15,1.474,2.511,,INPP4A,0.688,3.04,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
JRKL,1.247,3.504,,FYTTD1,-0.325,2.152,GDF7,-0.406,2.412,,INPP4B,1.231,3.545,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
EYA4,1.246,2.902,,FZD2,1.38,3.709,GET4///SUN1,-0.895,6.092,,INPP5E,0.516,2.843,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
MAGED2,1.244,4.735,,FZD6,1.274,4.059,GFOD2,-0.629,4.377,,INPP5J,-0.293,3.141,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
FTH1,1.242,2.786,,G3BP2,-0.309,1.758,GFRA1,-0.392,2.693,,INPP5K,-0.797,4.437,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LOC728392,1.241,3.334,,GABARAP,-0.57,8.694,GGACT,-0.928,3.953,,INSC,0.387,3.522,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DESI2,1.238,5.09,,GABPB2,0.634,3.318,GGT5,0.517,3.266,,INTS10,-0.911,3.454,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
TRIM11,1.237,7.307,,GABRD,4.917,29.544,GJA9,-0.109,2.267,,INVS,-0.322,3.092,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
UTP14A,1.236,5.285,,GABRE,2.413,7.256,GLIS3,1.393,4.374,,IQCC,-0.569,2.971,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ZNF514,1.235,3.141,,GAL3ST4,1.95,5.216,GLRB,0.527,2.986,,IRAK3,-0.843,3.601,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
DNAJB6,1.233,4.969,,GAPDH-DT,1.377,8.962,GLS,0.565,4.173,,ISCU,0.419,3.573,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CCT6A,1.232,4.523,,GAS2L3,1.712,10.276,GLT8D2,0.395,2.72,,ISG15,2.415,4.145,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NCAPG2,1.231,4.649,,GAS5,1.108,7.494,GLUD1,-0.502,2.378,,ISYNA1,-0.637,4.892,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SFN,1.23,2.471,,GAS5-AS1,0.811,5.075,GLYR1///SEPT6,1.231,8.078,,ITCH,-0.984,3.642,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
HSPA1B///HSPA1A,1.229,3.353,,GATA2-AS1,1.0,1.727,GMCL1,-0.464,5.729,,ITGA4,1.585,2.98,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SEMA4F,1.227,5.245,,GATAD1,0.531,4.172,GNAL,0.757,3.663,,ITGA6,1.428,7.15,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SLAMF8,1.225,2.677,,GBA1,0.943,13.643,GNAS,0.772,2.871,,ITLN1,-0.963,3.334,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ZNF165,1.224,4.224,,GBAP1,1.072,17.311,GNL3L,-0.589,5.228,,ITM2C,-0.999,3.33,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
BLVRA,1.223,2.564,,GCLC,-0.751,2.994,GOLGA8IP,-0.246,3.252,,ITPKB,1.247,3.486,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
RASAL2,1.222,3.384,,GDF9,-0.518,2.027,GOLIM4,-0.672,5.015,,ITPR1-AS1,0.769,3.655,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA,1.221,6.109,,GGCX,-0.385,1.756,GOLM1,1.204,6.025,,JAK1,0.691,3.185,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
PRRC2C,1.22,4.853,,GIMAP1-GIMAP5,-0.571,1.81,GOPC,-0.604,3.183,,JMJD1C,-0.878,4.592,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ARID4B///RBM34,1.219,5.928,,GIMAP4,-0.499,1.381,GPAT3,-0.914,3.239,,JOSD2,0.462,3.251,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
SUV39H2,1.218,2.549,,GINM1,-0.58,8.58,GPAT4,-0.331,2.207,,KAZN,-0.707,5.501,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ZNF286B///ZNF286A,1.217,3.262,,GINS1,3.166,28.264,GPATCH8,-0.461,2.859,,KCMF1,0.34,3.32,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ASF1B,1.215,5.49,,GINS4,2.017,11.362,GPC3,1.106,5.449,,KCNK17,-0.52,3.468,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
PEX6,1.214,2.648,,GIPC2,-0.801,2.333,GPC6,-0.635,6.572,,KCNK6,-0.501,3.187,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
ZNF320,1.213,2.19,,GJA1,0.708,2.092,GPNMB,1.303,4.368,,KCNMB4,-0.423,2.862,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
S100A10,1.212,2.132,,GJA4,-0.694,1.747,GPR171,1.995,4.99,,KDM2B,-0.645,3.079,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
MPZL1,1.21,3.273,,GJA5,1.713,5.838,GPR176,0.91,2.617,,KIAA0368,0.689,2.963,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NUP133,1.209,6.574,,GJA9-MYCBP,0.49,3.701,GPR183,1.542,2.565,,KIAA0556,0.436,3.678,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
CDCA4,1.208,4.053,,GJC1,2.578,23.091,GPR20,0.163,2.291,,KIAA1211L,1.143,3.612,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NT5C3A,1.205,2.73,,GLDC,-0.969,2.129,GPRC5B,1.841,6.679,,KIAA1522,0.931,4.842,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
NOV,1.204,2.122,,GLMN,0.858,10.568,GPRIN3,0.891,2.929,,KIF12,-0.469,3.264,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
