Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2B///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE3///GAGE2C///GAGE1,3.833,3.885,,ARPC5,0.624,5.013,ADAM33,-0.304,5.023,,ADRA1B,-0.856,3.444,,ALS2CL,0.405,3.219,,,Cirrhotic,Training
PRC1,3.804,9.697,,ARPIN-AP3S2,-0.3,1.45,ADAMDEC1,1.269,3.413,,AFAP1L2,-0.611,4.268,,AMHR2,-0.762,3.47,,,Cirrhotic,Training
DNAJC6,3.744,10.274,,ARV1,0.536,3.322,ADAMTS13,0.162,2.855,,AFF4,0.434,3.081,,AMIGO1,0.17,4.327,,,Cirrhotic,Training
GAGE12F///GAGE12B///GAGE12G///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4,3.733,3.721,,ASAP1,0.762,5.001,ADAMTS2,0.407,2.958,,AGAP2,-0.524,4.521,,ANAPC5,-0.443,3.653,,,Cirrhotic,Training
GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1,3.732,3.607,,ASAP2,0.463,1.795,ADAMTS7,0.16,3.816,,AGMAT,-0.709,3.329,,ANGPT2,-0.808,4.237,,,Cirrhotic,Training
LIN28B,3.693,4.787,,ASAP3,0.652,1.83,ADAMTS9-AS2,1.977,5.545,,AGPAT3,-0.646,4.484,,ANGPTL1,-0.196,3.265,,,Cirrhotic,Training
TTK,0.669,8.822,,ASF1B,3.264,34.3,ADAMTSL2,1.05,4.166,,AHNAK,-0.208,2.933,,ANGPTL2,-0.999,4.964,,,Cirrhotic,Training
CCL20,3.662,3.357,,ASH1L-AS1,0.41,2.102,ADAT2,-0.151,2.777,,AHR,-0.361,3.21,,ANGPTL4,0.536,3.721,,,Cirrhotic,Training
CDC20,3.656,8.368,,ASIC3,1.34,4.473,ADCY1,-0.605,3.722,,AHSA2,0.543,3.603,,ANGPTL6,-0.864,3.375,,,Cirrhotic,Training
RACGAP1,0.654,9.649,,ASNS,1.349,4.145,ADCY10,-0.794,3.082,,AIF1L,0.978,4.363,,ANK3,-0.383,3.286,,,Cirrhotic,Training
REG3A,3.633,3.73,,ASPHD1,2.316,9.31,ADCY7,1.003,4.592,,AIFM2,0.535,4.33,,ANKHD1-EIF4EBP3,0.284,2.894,,,Cirrhotic,Training
UBE2T,3.609,7.401,,ASPM,4.417,50.237,ADD1,0.259,3.278,,AIG1,-0.973,3.615,,ANKRD20A3,0.22,3.795,,,Cirrhotic,Training
ZIC2,3.607,11.9,,ASPRV1,-0.454,1.817,ADD3,0.712,3.402,,AJUBA,0.501,2.848,,ANKRD29,0.377,3.815,,,Cirrhotic,Training
ANLN,3.598,8.464,,ATAD2,2.153,22.045,AEBP2,-0.247,2.304,,AKR1B10,4.717,3.731,,ANKS1A,-0.658,4.364,,,Cirrhotic,Training
RBM24,3.576,7.161,,ATAD5,1.673,17.847,AES,0.3,2.627,,AKR1B15,3.093,10.951,,ANO10,0.505,5.08,,,Cirrhotic,Training
MMP12,3.555,2.204,,ATAT1,0.761,4.8,AFAP1L1,-0.229,2.379,,AKR1C2,1.117,2.856,,ANP32A,0.257,3.156,,,Cirrhotic,Training
GINS1,3.548,6.354,,ATF2,0.411,3.309,AFDN,-0.642,3.088,,AKR1C3,1.189,3.806,,ANP32B,-0.398,2.743,,,Cirrhotic,Training
LEF1,3.545,9.18,,ATG7,0.468,11.828,AGA,0.321,2.56,,AKR7A2,-0.892,2.998,,ANTXR1,-0.64,2.701,,,Cirrhotic,Training
KIF4A,3.519,9.278,,ATG9B,-0.902,5.055,AGAP11,-0.095,2.287,,ALB,1.399,4.739,,ANXA1,-0.783,4.552,,,Cirrhotic,Training
TRIM71,3.499,6.125,,ATP13A2,0.314,1.605,AGBL3,-0.188,4.0,,ALG1L,0.879,6.458,,ANXA10,-0.944,3.238,,,Cirrhotic,Training
DLGAP5,3.493,11.095,,ATP1A1-AS1,0.752,3.275,AGBL4,-0.156,2.489,,ALKBH5,-0.439,2.912,,AP1S2,-0.623,3.109,,,Cirrhotic,Training
NUF2,3.487,9.097,,ATP1A2,1.025,1.334,AGBL5,-0.53,3.51,,ALMS1,0.952,3.718,,AP2A1,0.279,3.107,,,Cirrhotic,Training
CCNB2,0.385,7.854,,ATP1B1,0.71,2.395,AGER,0.203,3.533,,AMBRA1,0.565,2.931,,APBB3,0.987,5.728,,,Cirrhotic,Training
MAGEA6,3.353,4.349,,ATP5F1B,-0.395,2.978,AGFG1,-0.544,5.532,,AMMECR1,0.789,3.124,,APCDD1,-0.411,3.565,,,Cirrhotic,Training
BUB1,0.351,9.403,,ATP5MC3,-0.613,4.932,AGL,-0.684,3.008,,AMOTL1,-0.486,4.217,,APOL2,0.857,4.516,,,Cirrhotic,Training
